word,pronunciation,meaning,example,collocation,relatedWords,note
ambitious,/æmˈbɪʃəs/,tham vọng,She is an ambitious young lawyer.,highly ambitious,ambition,tính từ
brilliant,/ˈbrɪliənt/,xuất sắc,He gave a brilliant performance.,brilliant idea,brilliance,cả nghĩa màu sắc lẫn tài năng
determine,/dɪˈtɜːrmɪn/,quyết tâm,She determined to finish the project.,strongly determine,determination,động từ
efficient,/ɪˈfɪʃənt/,hiệu quả,The new system is very efficient.,highly efficient,efficiency,thường dùng trong công việc
fluent,/ˈfluːənt/,thành thạo,He is fluent in three languages.,fluent speaker,fluency,hay dùng với ngôn ngữ
generous,/ˈdʒenərəs/,hào phóng,She is very generous with her time.,extremely generous,generosity,tính từ
hypothesis,/haɪˈpɒθɪsɪs/,giả thuyết,The scientist tested his hypothesis.,prove a hypothesis,hypothesize,danh từ học thuật
innovative,/ˈɪnəveɪtɪv/,sáng tạo,The company uses innovative methods.,innovative approach,innovation,hay dùng trong business
justify,/ˈdʒʌstɪfaɪ/,biện minh,Can you justify your decision?,hard to justify,justification,động từ
knowledge,/ˈnɒlɪdʒ/,kiến thức,Knowledge is power.,gain knowledge,knowledgeable,danh từ không đếm được
